keyword,category,official_procedure,real_procedure
Hostel Leave,Hostel,"Submit written application to warden 3 days prior","Usually you just have to go to warden's office with a hostel leave application and that's all your work done after he signs your letter"
Bonafide Certificate,Academics,"Apply via Academic Services portal and submit documents","Processing often takes 3–4 days longer than stated and it can be faster if you personally go to PhD section of college and talk to the sir there"
Fee Refund,Finance,"Apply online through ERP portal","Office visit speeds up refund process"
NOC Internship,Academics,"Submit application with HOD approval","Go to College's T&P Cell and they will give you NOC with ease"
Scholarship,Academics,"Submit application online through Scholarship Portal; verification handled by administration","In reality, you need to go to the PhD section for document verification, which makes the process faster"
Medical Leave,Academics,"Submit medical leave application to HOD along with medical certificate","Usually just give the certificate to your professor; if they ask, get hospital verification, otherwise they accept it and mark you present"
Library Clearance,Library,"Return all borrowed books and pay pending fines before clearance","Most times, if you know the librarian, they clear your record quickly even if small fines are pending"
Exam Revaluation,Academics,"Apply through ERP portal within 7 days of result declaration","Going directly to the exam cell speeds up the process and ensures your application is noticed"
ID Card Renewal,Administration,"Submit request form at administration office with old ID card missing FIR from police","In practice, just visit the Library, explain the issue, and they print a new card immediately after"
result Card Issue,Esamrth Office,"if there is some issue regarding result card like missprint or wrong info write a mail to esamarth official email","In Practice go to Esamarth office in CSC Centre and tell them your issue they will fix that as soon as possible no need to wait after writing email"
